time,Sn100,Sn90,Sn80,Sn71,Sn64,Sn54,Sn47,Sn40,Sn33,Sn20,Sn10,Sn0
0,299.24,345.87,365.12,359.22,395.19,353.19,358.19,342.62,374.67,348.14,336.54,374.97
1,298.19,344.32,363.59,357.87,394.34,351.27,356.77,340.27,373.27,345.57,334.07,372.74
2,297.12,342.92,362.07,356.59,392.34,349.47,355.47,338.17,371.84,343.24,331.44,370.29
3,296.14,341.64,360.62,355.29,390.99,347.72,354.32,336.07,370.39,341.09,328.89,368.27
4,294.99,340.37,358.94,353.82,388.99,345.72,353.14,333.94,369.09,338.67,326.44,366.19
5,293.99,338.97,357.34,352.44,387.24,343.94,351.94,331.67,367.69,336.44,324.07,364.12
6,292.94,337.27,355.79,351.09,386.14,342.19,350.44,329.72,366.32,334.17,321.22,361.72
7,291.92,334.57,354.34,349.77,384.19,340.42,349.17,327.79,364.79,332.09,319.14,359.74
8,290.77,333.67,352.67,348.27,383.12,338.37,347.89,325.92,363.49,329.52,317.24,357.74
9,289.82,331.02,351.19,346.94,381.17,336.72,346.59,323.74,362.22,327.42,315.32,355.62
10,288.62,331.79,349.72,345.59,379.77,335.02,345.24,321.97,360.92,325.34,311.97,353.24
11,287.54,330.97,348.24,344.27,378.32,333.37,343.72,320.19,359.44,323.29,309.04,351.22
12,286.44,328.87,346.54,342.82,376.69,331.49,342.37,318.44,358.09,320.99,307.37,349.14
13,285.42,328.14,345.09,341.52,375.04,329.84,340.97,316.67,356.74,319.04,305.22,347.04
14,284.37,326.77,343.67,340.19,373.22,328.19,339.52,314.57,355.37,316.99,302.67,344.82
15,283.32,325.47,342.24,338.92,371.64,326.54,337.99,312.62,354.07,314.94,301.04,342.94
16,282.14,324.07,340.82,337.47,370.14,324.77,336.69,310.79,352.67,312.64,299.19,340.97
17,281.12,322.52,339.19,336.17,368.67,323.19,335.39,309.09,351.39,310.67,296.97,339.02
18,280.14,321.14,337.74,334.84,367.22,321.49,334.07,307.04,350.12,308.74,294.94,336.89
19,279.17,319.74,336.37,333.49,365.69,319.79,332.67,305.22,348.82,306.82,292.64,335.09
20,278.09,318.39,334.94,332.02,365.39,318.12,331.44,303.37,347.37,304.74,290.87,333.14
